longitude,latitude,acq_date,DEM,fire,Precipitation_CHIRPS
80.5348,29.46,2019-03-26,1279.235107421875,0,3.4656763076782227
82.4806,28.2358,2019-05-09,1721.5848388671875,0,0.0
81.5733,28.3365,2019-04-01,692.3696899414062,0,0.0
81.6394,29.1657,2019-03-28,1877.6539306640625,0,0.0
80.7145,29.1326,2019-06-24,1408.603759765625,0,0.0
83.9929,27.597,2019-04-01,193.73556518554688,1,0.0
84.8042,27.326,2019-06-08,272.7886962890625,0,9.093902587890625
81.3091,28.5415,2019-05-22,191.22933959960932,0,0.0
80.767,29.0288,2019-05-17,1453.0831298828125,0,0.0
82.0159,28.0784,2019-03-25,392.968017578125,0,0.0
86.7153,26.6821,2019-03-19,181.87527465820312,1,0.0
85.6529,27.0583,2019-03-20,162.5702667236328,1,0.0
82.6135,27.9371,2019-03-28,734.016357421875,0,0.0
84.4012,27.5558,2019-06-05,177.18768310546875,0,0.0
81.7093,28.2948,2019-03-13,325.42156982421875,0,0.0
80.2628,29.0125,2019-05-27,429.662841796875,0,0.0
80.2039,28.8108,2019-05-23,176.45236206054688,1,0.0
82.7358,27.7298,2019-05-05,281.6754455566406,0,0.0
81.4146,28.3896,2019-04-14,240.3778686523437,1,0.0
84.2329,27.5224,2019-02-22,192.22222900390625,1,0.0
82.1149,28.0517,2019-12-31,563.9336547851562,0,0.0
80.9481,28.967,2019-03-30,845.9401245117188,0,0.0
84.4993,27.5307,2019-03-15,202.1081085205078,0,0.0
86.0702,27.2442,2019-03-06,1429.0733642578125,0,0.0
86.6082,26.9005,2019-03-23,473.346435546875,1,0.0
81.0033,29.2612,2019-03-28,1358.7994384765625,0,0.0
80.7967,28.8136,2019-05-21,270.1481628417969,1,0.0
81.9166,28.0923,2019-04-29,221.67156982421875,1,0.0
82.3415,27.7722,2019-05-15,481.0714111328125,0,0.0
80.2146,28.8479,2019-03-26,195.09420776367188,1,0.0
80.427,29.0966,2019-05-05,899.6058349609375,1,0.0
81.983,28.1103,2019-05-01,796.1710205078125,0,0.0
85.8338,27.0207,2019-06-17,231.5044403076172,0,0.0
80.4581,28.7311,2019-06-05,184.9561309814453,0,0.0
80.4292,29.1057,2019-04-14,999.3109130859376,0,0.0
80.4812,28.7295,2019-05-23,182.8272857666016,0,0.0
82.0457,28.2491,2019-01-22,1200.542236328125,0,6.44272518157959
81.4446,28.4569,2019-05-25,287.43365478515625,0,5.0979108810424805
83.2184,27.6333,2019-05-19,121.96194458007812,0,0.0
84.8731,27.3418,2019-02-23,414.685791015625,0,0.0
80.8551,28.6629,2019-01-04,164.912353515625,0,0.0
81.8794,28.2954,2019-05-09,635.7197875976562,1,0.0
81.5561,28.4897,2019-05-21,967.3421630859376,1,0.0
81.546,28.7129,2019-06-09,659.4063110351562,0,0.0
81.7868,28.4412,2019-03-19,518.7784423828125,0,0.0
80.8614,28.7055,2019-04-02,179.98960876464844,0,2.0901849269866943
81.7261,28.2422,2019-05-11,180.78585815429688,0,0.0
80.3901,29.0967,2019-05-07,753.4247436523438,1,0.0
81.9509,28.1098,2019-06-12,253.871826171875,0,14.88990306854248
80.3815,28.993,2019-05-10,498.5379638671875,1,0.0
82.2984,28.3171,2019-05-31,1347.52685546875,0,0.0
81.4309,28.8939,2019-05-29,926.77294921875,0,12.511661529541016
82.1757,27.9302,2019-02-04,339.1905822753906,0,0.0
87.7517,27.211,2019-03-15,444.1983642578125,1,0.0
82.0683,28.1876,2019-03-05,560.500732421875,0,0.0
80.6294,29.1371,2019-04-04,1476.04931640625,0,0.0
81.2928,28.5601,2019-03-13,198.4254913330078,1,0.0
81.3373,28.8892,2019-05-08,925.6729736328124,1,5.055710792541504
81.4385,28.4564,2019-11-11,212.08154296875,0,0.0
83.1412,28.3162,2019-02-04,1608.457763671875,0,0.0
84.4838,27.5524,2019-05-06,183.5830078125,0,0.0
80.7806,28.8468,2019-05-11,806.7554931640625,1,0.0
81.132,28.8267,2019-05-15,541.7554321289062,0,0.0
81.473,28.9985,2019-06-18,1470.733642578125,0,0.0
82.054,28.258,2019-05-02,920.8823852539062,0,0.0
80.469,28.7751,2019-01-13,194.76705932617188,0,0.0
81.8494,28.6292,2019-06-02,1345.1011962890625,0,11.685271263122559
81.1822,28.9969,2019-05-06,1156.8966064453125,0,0.0
87.407,27.6058,2019-05-16,1758.8759765625,0,0.0
81.1822,28.9969,2019-04-19,1156.8966064453125,0,0.0
84.3418,27.5571,2019-05-18,167.14047241210938,0,0.0
81.5718,28.5311,2019-05-05,531.54443359375,0,0.0
81.4446,28.4569,2019-06-02,287.43365478515625,0,0.0
80.7707,28.9539,2019-05-08,1462.3646240234375,0,6.2707977294921875
81.2946,28.5389,2019-05-02,190.23123168945312,0,0.0
80.6227,28.9373,2019-01-10,1567.379638671875,0,0.0
82.0111,28.0722,2019-05-24,316.9366455078125,0,0.0
81.4016,28.4771,2019-03-04,371.1646728515625,0,0.0
81.6591,28.5585,2019-01-01,654.018798828125,0,0.0
83.0164,27.9736,2019-11-24,902.0776977539062,0,0.0
83.8027,27.6211,2019-04-09,290.7060546875,0,0.0
86.112,27.2283,2019-06-10,1118.4801025390625,0,11.351359367370605
81.9825,28.6553,2019-01-29,1013.6397094726562,0,0.0
80.1867,29.0572,2019-05-07,740.685546875,1,0.0
86.7083,26.6656,2019-03-15,220.04684448242188,1,0.0
82.2608,28.2627,2019-06-14,1544.962890625,0,0.0
86.0991,27.2546,2019-05-11,501.807373046875,1,0.0
80.4614,28.9105,2019-04-22,250.368408203125,0,0.0
82.8946,28.012,2019-04-02,1291.58251953125,0,5.4987311363220215
82.0117,28.0912,2019-06-01,582.0757446289062,0,13.220388412475586
82.8268,27.7426,2019-04-21,440.7451171875,1,0.0
85.7126,27.6137,2019-03-24,904.5440063476562,0,0.0
82.0738,28.361,2019-04-19,1332.3798828125,0,0.0
81.8162,28.0337,2019-06-12,259.53839111328125,0,3.41339111328125
81.3131,28.7084,2019-05-04,455.790283203125,0,0.0
84.9568,27.2618,2019-03-20,271.1882629394531,1,0.0
84.0369,27.5286,2019-05-23,326.34136962890625,0,0.0
81.5568,28.5941,2019-04-27,548.7847900390625,1,0.0
82.9132,27.9179,2019-03-01,788.8336181640625,0,0.0
80.1745,28.8965,2019-03-20,193.3295288085937,1,0.0
81.9339,28.4931,2019-05-16,1605.9261474609375,1,0.0
