longitude,latitude,acq_date
85.0661,27.2235,2019-03-22
84.956,27.2081,2019-03-22
85.0413,27.2475,2019-03-22
84.8066,27.2418,2019-03-22
84.8949,27.2635,2019-03-22
84.825,27.2536,2019-03-22
84.815,27.2521,2019-03-22
84.9478,27.2801,2019-03-22
84.8079,27.2604,2019-03-22
84.798,27.259,2019-03-22
84.788,27.2576,2019-03-22
84.9462,27.289,2019-03-22
84.8063,27.2693,2019-03-22
84.7963,27.2679,2019-03-22
84.9046,27.2923,2019-03-22
84.903,27.3012,2019-03-22
84.893,27.2998,2019-03-22
85.0098,27.3345,2019-03-22
83.8896,27.6164,2019-03-22
82.8736,27.7479,2019-03-22
84.3138,28.166,2019-03-22
82.3256,27.9586,2019-03-22
82.1815,28.0276,2019-03-22
82.1695,28.0257,2019-03-22
80.1871,28.8999,2019-03-22
81.9693,29.6296,2019-03-22
86.8542,26.8087,2019-03-22
86.8681,26.807,2019-03-22
85.0522,28.1757,2019-03-23
81.586,29.3264,2019-03-23
82.4303,28.8968,2019-03-23
83.8238,27.6136,2019-03-23
84.6301,27.3819,2019-03-23
84.6402,27.3804,2019-03-23
85.7598,27.1855,2019-03-23
85.7706,27.1837,2019-03-23
84.9094,27.3111,2019-03-23
84.5628,27.3554,2019-03-23
84.8132,27.28,2019-03-23
85.498,27.173,2019-03-23
84.8014,27.2726,2019-03-23
84.8217,27.2695,2019-03-23
84.8319,27.2679,2019-03-23
85.078,27.2297,2019-03-23
85.8823,27.102,2019-03-23
84.8404,27.2573,2019-03-23
85.284,27.1881,2019-03-23
85.0746,27.2116,2019-03-23
85.7562,27.0841,2019-03-23
86.3908,26.9797,2019-03-23
85.635,27.3076,2019-03-23
83.7903,28.1259,2019-03-23
85.1164,27.8884,2019-03-23
84.7039,27.8323,2019-03-23
81.8884,28.1521,2019-03-23
81.8994,28.1507,2019-03-23
84.5185,27.759,2019-03-23
82.3045,27.9573,2019-03-23
87.1734,27.1658,2019-03-23
87.6007,27.0927,2019-03-23
82.8634,27.7608,2019-03-23
85.0247,27.1728,2019-03-23
85.1486,27.1532,2019-03-23
85.3135,27.1176,2019-03-23
86.5552,26.9125,2019-03-23
86.6145,26.9023,2019-03-23
85.699,27.0486,2019-03-23
86.5608,26.9083,2019-03-23
86.6082,26.9005,2019-03-23
86.6205,26.8984,2019-03-23
86.3974,26.9254,2019-03-23
87.5131,26.7267,2019-03-23
85.0584,27.103,2019-03-23
86.9684,26.769,2019-03-23
86.9806,26.7669,2019-03-23
85.3781,26.8769,2019-03-23
84.8727,27.2059,2019-03-23
84.9631,27.1825,2019-03-23
87.6074,27.1376,2019-03-23
87.6097,27.1318,2019-03-23
87.6397,27.145,2019-03-23
87.6021,27.1191,2019-03-23
87.6391,27.1276,2019-03-23
87.6426,27.1392,2019-03-23
86.6155,26.8297,2019-03-23
86.6873,26.7279,2019-03-23
86.7885,26.7887,2019-03-23
86.775,26.7864,2019-03-23
82.718,27.7392,2019-03-23
84.8524,27.2787,2019-03-24
84.859,27.2782,2019-03-24
80.2011,28.9167,2019-03-24
80.1807,28.9207,2019-03-24
87.9641,26.4816,2019-03-24
86.925,26.5598,2019-03-24
87.4803,26.6693,2019-03-24
87.7792,26.7309,2019-03-24
87.4615,26.6849,2019-03-24
87.2643,26.7762,2019-03-24
86.7411,26.6981,2019-03-24
86.9701,26.751,2019-03-24
86.7747,26.7402,2019-03-24
86.6306,26.7278,2019-03-24
86.7,26.8299,2019-03-24
87.3143,26.9404,2019-03-24
87.7223,27.0544,2019-03-24
86.5969,26.8979,2019-03-24
86.7574,27.0137,2019-03-24
86.2403,26.972,2019-03-24
86.3617,27.0095,2019-03-24
86.2004,27.0389,2019-03-24
86.0393,27.0326,2019-03-24
86.0288,27.0309,2019-03-24
86.0129,27.0567,2019-03-24
85.7542,27.0257,2019-03-24
85.9633,27.0868,2019-03-24
85.6945,27.0449,2019-03-24
85.9429,27.1009,2019-03-24
85.9112,27.0959,2019-03-24
85.9378,27.1285,2019-03-24
84.8467,27.0027,2019-03-24
84.8409,27.0042,2019-03-24
85.3982,27.1058,2019-03-24
84.8389,27.0138,2019-03-24
85.3033,27.1195,2019-03-24
85.0957,27.1054,2019-03-24
85.262,27.1517,2019-03-24
85.2826,27.1647,2019-03-24
85.2843,27.1803,2019-03-24
85.6574,27.25,2019-03-24
85.0898,27.2171,2019-03-24
85.0784,27.2152,2019-03-24
85.082,27.2294,2019-03-24
84.9652,27.2199,2019-03-24
84.9032,27.2294,2019-03-24
84.8915,27.2275,2019-03-24
84.9208,27.2619,2019-03-24
85.6372,27.3863,2019-03-24
85.6265,27.3847,2019-03-24
84.9189,27.2715,2019-03-24
84.8565,27.2811,2019-03-24
84.8447,27.2792,2019-03-24
84.7858,27.2696,2019-03-24
84.8492,27.2838,2019-03-24
84.8002,27.2856,2019-03-24
