longitude,latitude,acq_date,geometry,index_right,fid,DN
84.4658,27.5948,2019-04-21,POINT (84.4658 27.5948),240693,2351902.0,4
84.6633,27.5142,2019-04-25,POINT (84.6633 27.5142),240693,2351902.0,4
84.6514,27.5122,2019-04-25,POINT (84.6514 27.5122),240693,2351902.0,4
84.3726,27.4662,2019-04-25,POINT (84.3726 27.4662),240693,2351902.0,4
84.6638,27.5374,2019-04-25,POINT (84.6638 27.5374),240693,2351902.0,4
84.6598,27.5135,2019-04-30,POINT (84.6598 27.5135),240693,2351902.0,4
84.822,27.525,2019-04-30,POINT (84.822 27.525),240693,2351902.0,4
84.6612,27.5043,2019-04-30,POINT (84.6612 27.5043),240693,2351902.0,4
84.9922,27.187,2019-05-02,POINT (84.9922 27.187),240693,2351902.0,4
84.7027,27.2992,2019-05-02,POINT (84.7027 27.2992),240693,2351902.0,4
84.7443,27.3617,2019-05-02,POINT (84.7443 27.3617),240693,2351902.0,4
84.5477,27.4044,2019-05-02,POINT (84.5477 27.4044),240693,2351902.0,4
84.5371,27.4028,2019-05-02,POINT (84.5371 27.4028),240693,2351902.0,4
84.5459,27.4136,2019-05-02,POINT (84.5459 27.4136),240693,2351902.0,4
84.5354,27.4119,2019-05-02,POINT (84.5354 27.4119),240693,2351902.0,4
84.7114,27.5225,2019-05-02,POINT (84.7114 27.5225),240693,2351902.0,4
85.362,27.4295,2019-05-10,POINT (85.362 27.4295),240693,2351902.0,4
86.0845,27.2591,2019-05-11,POINT (86.0845 27.2591),240693,2351902.0,4
86.0762,27.2524,2019-05-11,POINT (86.0762 27.2524),240693,2351902.0,4
83.9997,27.5275,2019-05-12,POINT (83.9997 27.5275),240693,2351902.0,4
84.4828,27.5056,2019-05-12,POINT (84.4828 27.5056),240693,2351902.0,4
83.936,27.5325,2019-05-12,POINT (83.936 27.5325),240693,2351902.0,4
83.9858,27.5251,2019-05-12,POINT (83.9858 27.5251),240693,2351902.0,4
83.9958,27.5236,2019-05-12,POINT (83.9958 27.5236),240693,2351902.0,4
84.0058,27.5222,2019-05-12,POINT (84.0058 27.5222),240693,2351902.0,4
86.112,27.2283,2019-05-13,POINT (86.112 27.2283),240693,2351902.0,4
86.1062,27.2299,2019-05-13,POINT (86.1062 27.2299),240693,2351902.0,4
83.9632,27.4805,2019-05-13,POINT (83.9632 27.4805),240693,2351902.0,4
84.2981,27.3969,2019-05-13,POINT (84.2981 27.3969),240693,2351902.0,4
84.0428,27.5288,2019-05-14,POINT (84.0428 27.5288),240693,2351902.0,4
83.9765,27.5019,2019-05-15,POINT (83.9765 27.5019),240693,2351902.0,4
84.0369,27.5286,2019-05-15,POINT (84.0369 27.5286),240693,2351902.0,4
84.0478,27.5303,2019-05-15,POINT (84.0478 27.5303),240693,2351902.0,4
84.0541,27.5234,2019-05-17,POINT (84.0541 27.5234),240693,2351902.0,4
84.037,27.5078,2019-05-18,POINT (84.037 27.5078),240693,2351902.0,4
84.0651,27.5216,2019-05-18,POINT (84.0651 27.5216),240693,2351902.0,4
84.0742,27.5165,2019-05-19,POINT (84.0742 27.5165),240693,2351902.0,4
83.9475,27.4914,2019-05-19,POINT (83.9475 27.4914),240693,2351902.0,4
84.0792,27.5151,2019-05-19,POINT (84.0792 27.5151),240693,2351902.0,4
84.0822,27.5128,2019-05-20,POINT (84.0822 27.5128),240693,2351902.0,4
85.7448,27.4496,2019-05-27,POINT (85.7448 27.4496),240693,2351902.0,4
85.7605,27.4498,2019-05-28,POINT (85.7605 27.4498),240693,2351902.0,4
86.4879,27.6607,2019-01-12,POINT (86.4879 27.6607),250343,2433265.0,4
87.4536,27.783,2019-02-02,POINT (87.4536 27.783),250343,2433265.0,4
87.4411,27.7815,2019-02-02,POINT (87.4411 27.7815),250343,2433265.0,4
87.7839,27.3934,2019-02-04,POINT (87.7839 27.3934),250343,2433265.0,4
87.3239,27.0911,2019-02-25,POINT (87.3239 27.0911),250343,2433265.0,4
85.8038,27.8152,2019-03-12,POINT (85.8038 27.8152),250343,2433265.0,4
87.4507,26.9292,2019-03-12,POINT (87.4507 26.9292),250343,2433265.0,4
86.0216,27.6378,2019-03-12,POINT (86.0216 27.6378),250343,2433265.0,4
87.7017,27.4238,2019-03-13,POINT (87.7017 27.4238),250343,2433265.0,4
87.7517,27.211,2019-03-15,POINT (87.7517 27.211),250343,2433265.0,4
87.1994,27.2206,2019-03-15,POINT (87.1994 27.2206),250343,2433265.0,4
86.6829,27.3602,2019-03-16,POINT (86.6829 27.3602),250343,2433265.0,4
87.6098,27.5177,2019-03-17,POINT (87.6098 27.5177),250343,2433265.0,4
87.7747,27.4701,2019-03-17,POINT (87.7747 27.4701),250343,2433265.0,4
87.6268,27.2165,2019-03-17,POINT (87.6268 27.2165),250343,2433265.0,4
87.6155,27.2147,2019-03-17,POINT (87.6155 27.2147),250343,2433265.0,4
87.1774,27.1465,2019-03-17,POINT (87.1774 27.1465),250343,2433265.0,4
87.2254,27.1993,2019-03-17,POINT (87.2254 27.1993),250343,2433265.0,4
87.7648,27.4686,2019-03-17,POINT (87.7648 27.4686),250343,2433265.0,4
86.063,27.6563,2019-03-18,POINT (86.063 27.6563),250343,2433265.0,4
87.1608,27.2716,2019-03-22,POINT (87.1608 27.2716),250343,2433265.0,4
87.1734,27.1658,2019-03-23,POINT (87.1734 27.1658),250343,2433265.0,4
87.2643,26.7762,2019-03-24,POINT (87.2643 26.7762),250343,2433265.0,4
85.4512,27.9115,2019-03-24,POINT (85.4512 27.9115),250343,2433265.0,4
87.9631,26.7766,2019-03-25,POINT (87.9631 26.7766),250343,2433265.0,4
87.2733,26.7806,2019-03-25,POINT (87.2733 26.7806),250343,2433265.0,4
87.8411,27.53,2019-03-28,POINT (87.8411 27.53),250343,2433265.0,4
87.8298,27.5263,2019-03-28,POINT (87.8298 27.5263),250343,2433265.0,4
85.7178,27.6821,2019-05-02,POINT (85.7178 27.6821),250343,2433265.0,4
85.2159,27.8842,2019-05-02,POINT (85.2159 27.8842),250343,2433265.0,4
86.6413,27.234,2019-05-07,POINT (86.6413 27.234),250343,2433265.0,4
85.2049,27.9659,2019-05-08,POINT (85.2049 27.9659),250343,2433265.0,4
85.7592,27.7043,2019-05-09,POINT (85.7592 27.7043),250343,2433265.0,4
85.5267,27.8104,2019-05-21,POINT (85.5267 27.8104),250343,2433265.0,4
86.4533,27.2634,2019-06-15,POINT (86.4533 27.2634),250343,2433265.0,4
87.0138,27.5522,2019-12-06,POINT (87.0138 27.5522),250343,2433265.0,4
87.3497,27.1979,2019-12-06,POINT (87.3497 27.1979),250343,2433265.0,4
87.2012,27.5572,2019-12-06,POINT (87.2012 27.5572),250343,2433265.0,4
87.4279,27.453,2019-01-13,POINT (87.4279 27.453),193385,2068447.0,4
81.3162,29.6847,2019-01-20,POINT (81.3162 29.6847),12541,301778.0,4
84.3418,27.5571,2019-01-29,POINT (84.3418 27.5571),184937,2020148.0,4
80.1771,28.8106,2019-01-30,POINT (80.1771 28.8106),55624,964681.0,4
80.1453,28.8541,2019-02-02,POINT (80.1453 28.8541),55624,964681.0,4
80.1897,28.8245,2019-02-23,POINT (80.1897 28.8245),55624,964681.0,4
80.1469,28.8406,2019-02-25,POINT (80.1469 28.8406),55624,964681.0,4
80.1821,28.8271,2019-02-25,POINT (80.1821 28.8271),55624,964681.0,4
80.2402,28.8416,2019-03-01,POINT (80.2402 28.8416),55624,964681.0,4
80.1829,28.8339,2019-03-08,POINT (80.1829 28.8339),55624,964681.0,4
80.1658,28.8502,2019-03-08,POINT (80.1658 28.8502),55624,964681.0,4
80.186,28.8461,2019-03-08,POINT (80.186 28.8461),55624,964681.0,4
80.16,28.842,2019-03-08,POINT (80.16 28.842),55624,964681.0,4
80.2019,28.805,2019-03-18,POINT (80.2019 28.805),55624,964681.0,4
80.1892,28.8129,2019-03-18,POINT (80.1892 28.8129),55624,964681.0,4
80.1892,28.9015,2019-03-19,POINT (80.1892 28.9015),55624,964681.0,4
80.2003,28.8997,2019-03-19,POINT (80.2003 28.8997),55624,964681.0,4
80.2114,28.8979,2019-03-19,POINT (80.2114 28.8979),55624,964681.0,4
80.1938,28.8966,2019-03-19,POINT (80.1938 28.8966),55624,964681.0,4
