,longitude,latitude,acq_date,DEM,fire,Scaled_LST
5486,80.7004,28.7093,2019-01-04,180.650146484375,0,14576.0
5487,81.6422,28.418,2019-05-09,906.7381591796876,0,15491.0
5488,80.5517,28.9047,2019-05-21,604.0888671875,0,15666.0
5489,80.9916,28.9247,2019-11-24,488.65869140625,0,
5490,82.6655,27.7696,2019-01-06,432.4742431640625,0,14529.0
5491,80.7767,28.6399,2019-05-06,165.0000762939453,0,15682.0
5492,80.1513,28.8981,2019-03-27,196.405014038086,1,15173.0
5493,80.6984,28.6946,2019-06-17,176.2438507080078,0,15734.0
5494,81.2771,28.5392,2019-01-13,183.0233154296875,0,14605.0
5495,80.6155,29.0316,2019-06-15,1384.88916015625,0,15513.0
5496,82.1804,28.0141,2019-05-16,488.1605224609375,0,15594.0
5497,80.39,29.0963,2019-02-12,743.1094360351562,0,
5498,85.0413,27.2475,2019-01-20,222.8447265625,0,
5499,81.1873,28.9729,2019-04-23,1562.2027587890625,0,14899.0
5500,84.7039,27.8323,2019-05-11,1039.3009033203125,0,15339.0
5501,81.928,28.165,2019-02-02,611.0784912109375,0,14476.0
5502,82.2829,27.8483,2019-03-09,511.57562255859375,0,14677.0
5503,86.6829,27.3602,2019-03-16,815.8531494140625,1,15096.0
5504,80.2146,28.8479,2019-03-14,195.09420776367188,0,
5505,82.4806,28.2358,2019-05-27,1721.5848388671875,1,15322.0
5506,81.5192,28.4098,2019-03-24,555.254638671875,0,15107.0
5507,81.8202,28.1281,2019-05-02,171.51535034179688,1,15644.0
5508,81.495,28.6997,2019-05-09,599.2332763671875,1,15512.0
5509,84.9714,27.2113,2019-03-25,186.68914794921875,1,15055.0
5510,80.7753,28.7358,2019-04-24,184.9630279541016,0,
5511,80.5576,28.891,2019-06-21,578.2881469726562,0,
5512,83.1135,28.1366,2019-05-09,1200.4222412109375,1,15394.0
5513,85.6893,27.0334,2019-03-21,166.1204071044922,1,15218.0
5514,87.1774,27.1465,2019-06-17,1113.20654296875,0,14874.0
5515,86.794,26.6554,2019-01-12,162.03680419921875,0,
5516,81.2847,28.5274,2019-05-15,186.9953155517578,1,15214.0
5517,81.4551,28.8803,2019-03-12,920.8433227539062,0,14826.0
5518,82.1625,28.4285,2019-02-04,1565.1602783203125,0,14440.0
5519,80.541,28.969,2019-05-24,774.728759765625,0,15398.0
5520,81.1902,28.8668,2019-05-10,423.9528198242188,1,15372.0
5521,81.5427,28.4776,2019-01-30,660.8392333984375,0,14509.0
5522,80.5576,28.891,2019-05-07,578.2881469726562,1,15727.0
5523,80.6371,29.021,2019-06-05,1125.41162109375,0,15314.0
5524,80.7945,28.7847,2019-05-20,213.90399169921875,1,15589.0
5525,81.3073,28.5832,2019-03-08,236.0928955078125,0,14852.0
5526,84.3866,27.5542,2019-05-27,172.35061645507812,0,15027.0
5527,81.8476,28.1417,2019-04-28,204.6943359375,1,15524.0
5528,81.9108,28.1125,2019-05-26,253.14175415039065,0,15534.0
5529,82.1689,28.0119,2019-03-04,305.6708984375,0,
5530,84.7858,27.2696,2019-03-20,174.99754333496094,0,15041.0
5531,80.7945,28.7847,2019-04-23,213.90399169921875,0,15594.0
5532,81.225,28.6018,2019-04-05,182.8009033203125,0,15348.0
5533,84.6612,27.5043,2019-04-30,320.45428466796875,0,14994.0
5534,81.6244,28.5008,2019-05-31,1005.2232055664062,0,15506.0
5535,81.9605,27.9926,2019-04-29,246.49696350097656,1,15472.0
5536,81.4877,28.2956,2019-04-11,178.82171630859375,0,15238.0
5537,84.8742,27.2313,2019-03-18,156.23866271972656,0,14941.0
5538,81.5363,28.4747,2019-01-12,639.0833740234375,0,14539.0
5539,80.6447,29.1344,2019-03-12,1566.618408203125,0,14802.0
5540,81.9543,28.1262,2019-04-29,557.813720703125,1,15471.0
5541,80.6598,28.7127,2019-05-09,180.00045776367188,1,15708.0
5542,82.5325,27.9624,2019-03-21,714.9019775390625,0,15093.0
5543,82.4082,27.921,2019-03-06,635.530517578125,0,14843.0
5544,85.0661,27.2235,2019-04-26,196.54132080078125,0,
5545,85.6812,27.0683,2019-05-04,193.735107421875,0,
5546,80.3013,29.1129,2019-01-10,817.8256225585938,0,14462.0
5547,82.3813,27.8217,2019-04-29,335.2169494628906,0,15412.0
5548,81.7079,28.2671,2019-03-22,216.78793334960932,0,15102.0
5549,80.417,29.0172,2019-04-28,912.3497314453124,0,15376.0
5550,81.463,28.7339,2019-03-19,531.1103515625,0,14856.0
5551,80.3859,29.0169,2019-05-09,798.7642211914062,0,15610.0
5552,82.2047,28.305,2019-02-04,996.6591796875,0,14725.0
5553,80.2857,29.1058,2019-03-12,657.8023071289062,0,14839.0
5554,84.0792,27.5151,2019-01-31,364.2745971679688,0,14561.0
5555,81.1269,29.1414,2019-05-08,1598.3155517578125,1,15384.0
5556,84.6638,27.5374,2019-02-05,256.822509765625,0,14700.0
5557,84.8949,27.2635,2019-12-05,249.9994354248047,0,14714.0
5558,81.4888,28.4948,2019-05-12,451.8317260742188,1,15669.0
5559,81.7549,28.2058,2019-05-07,183.8524627685547,1,15690.0
5560,85.3176,27.0927,2019-11-11,116.97898864746094,0,
5561,81.8921,28.5801,2019-05-05,1999.750732421875,0,14795.0
5562,82.0247,28.3759,2019-06-15,1787.4061279296875,0,15119.0
5563,84.8421,27.9798,2019-02-10,1068.2706298828125,0,
5564,82.1835,28.7033,2019-05-12,1321.55126953125,1,15100.0
5565,87.3239,27.0911,2019-01-29,831.8392333984375,0,
5566,80.8191,28.6323,2019-04-21,165.0452880859375,1,15775.0
5567,81.3634,28.508,2019-01-12,275.4551086425781,0,14568.0
5568,81.485,28.3875,2019-01-04,505.33697509765625,0,14596.0
5569,82.8049,27.9025,2019-03-22,421.6734924316406,0,15246.0
5570,85.7598,27.1855,2019-03-09,557.6442260742188,0,
5571,81.7231,28.2299,2019-05-30,171.11697387695312,0,15721.0
5572,81.9456,28.063,2019-04-29,179.99867248535156,0,15511.0
5573,84.8777,27.262,2019-03-22,228.0411376953125,0,15188.0
5574,80.4401,28.9694,2019-04-27,396.2394104003906,0,15440.0
5575,82.8575,27.941,2019-05-27,662.85595703125,0,15568.0
5576,80.7178,28.6387,2019-05-15,163.46884155273438,0,15496.0
5577,80.4115,28.7727,2019-06-14,189.80389404296875,0,15118.0
5578,81.8178,28.3281,2019-04-29,680.2184448242188,1,15426.0
5579,81.3319,28.7055,2019-04-30,558.1995849609375,0,15441.0
5580,80.4648,28.7527,2019-04-20,189.7998962402344,0,15364.0
5581,81.4002,28.5767,2019-05-01,485.7178649902344,1,15155.0
5582,81.4345,28.8914,2019-03-01,1175.47216796875,0,14365.0
5583,80.4292,29.1057,2019-06-15,999.3109130859376,0,15571.0
5584,81.8963,28.2808,2019-04-29,557.6576538085938,1,15436.0
5585,80.8415,29.3056,2019-05-10,842.2728271484375,0,15528.0
5586,86.7153,26.6821,2019-03-13,181.87527465820312,0,15081.0
5587,81.5952,28.4611,2019-12-30,1112.173583984375,0,14417.0
5588,81.1253,28.7097,2019-05-01,340.3309020996094,0,
5589,81.1857,28.9818,2019-05-23,1159.456787109375,1,15372.0
5590,81.4335,28.4248,2019-05-09,413.30859375,0,15541.0
5591,82.2053,28.5946,2019-06-17,1148.281494140625,1,15482.0
5592,80.7591,28.9981,2019-05-28,756.7359008789062,0,15638.0
5593,81.8833,28.1118,2019-06-15,213.999740600586,0,15534.0
5594,81.4773,28.4296,2019-06-05,291.3699951171875,0,15424.0
5595,83.1646,27.74,2019-04-21,169.60037231445312,1,15413.0
5596,80.513,28.9597,2019-01-29,938.9730834960938,0,14385.0
5597,80.2993,29.2036,2019-03-25,523.1292724609375,0,14926.0
5598,81.1253,28.7097,2019-01-31,340.3309020996094,0,14578.0
5599,81.4899,28.3513,2019-03-10,206.93630981445312,0,14988.0
5600,83.9017,27.6266,2019-06-21,315.662109375,0,15311.0
5601,83.0323,27.6784,2019-04-01,120.21929168701172,0,
5602,80.4426,28.7717,2019-05-26,194.9999847412109,1,15710.0
5603,80.4454,29.1023,2019-05-08,732.55615234375,1,15488.0
5604,80.4448,28.8192,2019-03-31,205.0,0,15257.0
5605,81.9176,28.1168,2019-04-29,263.1068115234375,0,15486.0
5606,82.6704,27.9144,2019-05-11,665.6314086914062,1,15540.0
5607,81.4787,28.4545,2019-05-30,386.0623779296875,1,15533.0
5608,80.2701,29.0188,2019-05-06,438.0259094238281,1,15440.0
5609,82.1066,28.0525,2019-11-11,415.0476379394531,0,14842.0
5610,86.6837,26.7619,2019-03-22,176.3953857421875,1,15315.0
5611,80.4281,29.0157,2019-05-19,975.8838500976562,1,
5612,81.3134,28.6625,2019-06-12,560.2764892578125,0,15444.0
5613,81.1592,28.9175,2019-01-30,768.1942749023438,0,14370.0
5614,81.6983,28.246,2019-03-22,181.299072265625,0,15196.0
5615,81.3116,28.586,2019-03-28,244.45489501953125,0,15018.0
5616,81.3118,28.825,2019-04-24,433.52099609375,0,
5617,80.8907,28.8728,2019-04-14,783.0855102539062,0,15223.0
5618,82.6513,27.7836,2019-04-22,364.8292846679688,1,15273.0
5619,82.2339,28.2669,2019-06-17,1049.2177734375,0,15478.0
5620,80.5018,28.9615,2019-05-06,778.7196044921875,1,15444.0
5621,81.8159,28.2474,2019-04-19,789.8197021484375,1,15121.0
5622,81.2522,28.505,2019-05-13,166.91229248046875,1,15374.0
5623,81.4924,28.7306,2019-03-27,733.890869140625,0,14997.0
5624,81.9812,28.0873,2019-04-22,260.0968933105469,1,15289.0
5625,82.8155,28.101,2019-01-30,1175.9573974609375,0,14392.0
5626,84.8063,27.2693,2019-06-05,199.5545654296875,0,
5627,80.3879,29.1089,2019-04-20,676.0782470703125,0,15117.0
5628,86.0364,26.9895,2019-01-31,320.0084228515625,0,14628.0
5629,85.3982,27.1058,2019-04-05,125.0,0,
5630,84.4225,27.5537,2019-03-01,176.9144287109375,0,14795.0
5631,81.4704,28.3797,2019-12-06,253.12515258789065,0,14687.0
